station_id,station_name,lat,lon
74DA38F207E4,苗栗縣縣立南河國小,24.531,120.853
74DA38F7C37A,市立民族國小,25.059,121.551
74DA38F207E8,苗栗縣縣立建功國小,24.564,120.824
74DA38F207F4,苗栗縣縣立開礦國小,24.46,120.863
74DA38F20ABC,台東縣縣立月眉國小,23.009,121.147
08BEAC09FFB6,雲林縣縣立橋頭國小,23.7981503,120.2729719
74DA38F7C4BA,臺北市備品,25.001,121.524
74DA38F21008,高雄市市立蔡文國小,22.86,120.255
74DA38EBF8C2,花蓮縣立宜昌國中,23.972,121.587
74DA38F2080A,高雄市市立左營國小,22.691,120.293
74DA38F209C8,屏東縣縣立長興國小,22.677,120.526
74DA38F20BC8,高雄市市立八卦國小,22.689,120.333
74DA38F20E76,苗栗縣縣立栗林國小,24.373,120.842
08BEAC0A0744,桃園市市立中埔國小,25.02094499,121.2926566
74DA38F20FEA,高雄市市立大社國小,22.866,120.264
74DA38F20D04,苗栗縣縣立南和國中,24.447,120.721
08BEAC0A04F4,桃園市市立圳頭國小,25.072,121.205
74DA38F207FA,高雄市市立登發國小,22.679,120.354
74DA38F2080C,高雄市市立新庄國小,22.989,120.56
74DA38F20BFA,宜蘭縣縣立東光國中,24.671,121.766
08BEAC0A0854,臺南市市立新民國小,23.30554695,120.3058036
74DA38F20A04,苗栗縣縣立信義國小,24.697,120.891
74DA38C7D38A,嘉義市立嘉北國小,23.493,120.454
74DA38F2090E,屏東縣縣立東港高中附設國中,22.465,120.455
74DA38F20E66,苗栗縣縣立後龍國小,24.614,120.795
74DA38C7D490,金門縣立湖埔國小,24.456,118.308
74DA38C7D516,新竹市立虎林國小,24.806,120.941
74DA38F210AA,市立社子國小,25.089,121.503
74DA38F20AF2,高雄市市立民族大愛國小,22.964,120.539
74DA38F20D36,苗栗縣縣立造橋國中,24.639,120.863
74DA38F20F90,澎湖縣縣立文澳國小,23.564,119.583
74DA38F20F5E,市立康寧國小,25.08,121.594
74DA38F20820,宜蘭縣縣立礁溪國中,24.817,121.767
74DA38F20D46,新竹縣縣立芎林國小,24.733,121.093
08BEAC0A0316,臺南市市立青山國小,23.2806719,120.4672546
74DA38F20932,苗栗縣縣立烏眉國小,24.51,120.72
74DA38F21036,新竹縣縣立十興國小,24.823,121.024
74DA38C7D606,新竹市立舊社國小,24.822,120.973
74DA38F7C39C,新北市烏來幼兒園,24.863,121.547
74DA38F208CA,宜蘭縣縣立力行國小,24.763,121.755
08BEAC0A04B6,臺南市市立大灣國小,23.00550652,120.2674255
74DA38F7C56E,新北市三芝國中,25.259,121.501
74DA38F20A6A,屏東縣縣立西勢國小,22.621,120.525
74DA38F20854,宜蘭縣四季國小英士分校,24.612,121.525
74DA38F20ADA,屏東縣縣立社皮國小,22.614,120.468
74DA38F207EE,苗栗縣縣立福基國小,24.468,120.832
08BEAC09FFBE,臺中市立光復國中小,24.044,120.69
74DA38F20B64,苗栗縣縣立鶴岡國中,24.528,120.83
74DA38F7C39E,新北市新店幼兒園,24.987,121.521
74DA38F2118C,澎湖縣縣立大池國小,23.614,119.513
74DA38F20828,宜蘭縣縣立員山國小,24.743,121.722
74DA38F7C31C,新北市安溪國小,24.93,121.372
74DA38F2116E,台東縣縣立卑南國中,22.789,121.112
74DA38F20824,宜蘭縣縣立玉田國小,24.795,121.79
74DA38F20BDA,新竹縣縣立雙溪國小,24.765,120.99
74DA38F20CAE,台東縣縣立岩灣國小,22.806,121.124
74DA38F208D0,宜蘭縣縣立成功國小,24.671,121.768
74DA38F20E8C,苗栗縣縣立卓蘭國小,24.312,120.824
74DA38F7C5E2,新北市貢寮國小,25.021,121.915
74DA38F7C444,新北市烏來國中,24.863,121.553
74DA38F2111A,新竹縣備品,24.827,121.032
74DA38F211BA,屏東縣縣立舊寮國小,22.848,120.61
08BEAC0A03E0,桃園市市立三和國小,24.84812397,121.1679936
